dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,all (base = confidence+explanation),7600,263,0.9520587096703981,0.5067422216993819,0.9515726063687824,-0.0004751148127734112,-0.0015480178733526194,0.000448500684007391,0.391141746975419,0.38724462133152343,-0.003794062033794736,-0.01314931081014489,0.005329053535143639
stanfordnlp_sst2,graphsvx,constituency,bert_correct,all,872,73,0.8348963601762478,0.510526857201639,0.8050474051468445,-0.02992172119166884,-0.04947299722619858,-0.013144110336589698,0.3077422178420738,0.29758732282956224,-0.010003202023600085,-0.06564825672440766,0.0514868348111988
stanfordnlp_sst2,graphsvx,constituency,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.42446453651685395,0.6947419241573034,-0.07513200076742546,-0.12005184320864402,-0.036355572532043134,0.11214413353020516,0.10044982620382817,-0.011626572297213512,-0.023690821447789865,0.0015159335712787091
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,all,872,96,0.8092112328178694,0.5291693513745704,0.794579574742268,-0.014943837864579897,-0.03207775930917129,0.0002042082950366327,0.31871698119565456,0.29600348652766717,-0.023885948247762186,-0.07211367965214324,0.017893918387518238
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,confidence>0.9,672,34,0.7174073391111931,0.5020744975106031,0.6722293933247281,-0.045841380376142285,-0.09506400328408218,-0.002870151181764184,0.128429033267604,0.13633954960155692,0.0024962688907641684,-0.04298770585072222,0.05529807201445706
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,all (base = confidence+explanation),872,96,0.8026336984536083,0.5291693513745704,0.7894249355670102,-0.01333788461477825,-0.025271378652966206,-0.0027113970588236503,0.32581789443477566,0.3046107003159907,-0.021447103270232835,-0.047122861750743095,-0.0008207913421724496
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,all,872,62,0.9319195539625648,0.5767522899243329,0.9206690561529272,-0.011234390596663748,-0.03040846466577159,0.0024570238243780394,0.4864762304225616,0.48141466867935384,-0.00376670089803568,-0.10221313147390731,0.10143631235376915
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,all (base = confidence+explanation),872,62,0.9169255276782158,0.5767522899243329,0.9052966945440063,-0.011343292126055261,-0.02228341679862568,-0.0018600551444065742,0.4391896401399366,0.42253168692791965,-0.016493296811267866,-0.0593242827211737,0.026975637346127665
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,all,872,73,0.8348963601762478,0.4439796320743394,0.828432801275567,-0.0066433052962859614,-0.022494409220065688,0.009556362052530996,0.3077422178420738,0.31655809654346384,0.007260584433477782,-0.06044892911757911,0.07328857329597407
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.46361481741573035,0.7628160112359551,-0.008436550315089428,-0.04512698992542331,0.03617922970214832,0.11214413353020516,0.10848580348024708,-0.0031413968728621925,-0.027463755744847686,0.025482532863757273
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,all,872,109,0.8028544975771641,0.49370543605035655,0.796469753628242,-0.006568256087176968,-0.02158078070733927,0.009089077583828003,0.31849687468557897,0.3147279093207943,-0.003919336901868666,-0.04515582407324901,0.03647758414889641
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,confidence>0.9,686,45,0.7602704108164328,0.40953371468192057,0.7391228982492634,-0.021190031013844427,-0.061236963235339566,0.020672793459154362,0.19905907025576727,0.16406349283363897,-0.03838556940036611,-0.08575089479478963,-0.005451116775542084
