dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,all (base = confidence+explanation),7600,484,0.8464971267171175,0.5250030196182274,0.8449277962826176,-0.0015509952867639035,-0.002841521216161563,-0.0002887814425809884,0.2857221327195547,0.2865348975134873,0.0007820487743083968,-0.0012752052017958565,0.002937472036649485
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,all,7600,141,0.9696810649993012,0.5010582674649788,0.9642109727027847,-0.005341987966776518,-0.019753140957201206,0.002211510013115547,0.3158488241213153,0.2990606791865221,-0.015409645356219326,-0.03199306946938564,0.0006433398873027253
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,all (base = confidence+explanation),7600,141,0.9725145214643834,0.5010582674649788,0.9712898597439049,-0.0011890523827906244,-0.002809291577643974,0.00031991938530495883,0.369552563342243,0.36218525522350964,-0.007373385274971801,-0.02260324530302701,0.007432474279124799
setfit_ag_news,subgraphx,window,bert_correct,all,7600,471,0.8868036687564534,0.47740308342558235,0.8839172197885553,-0.0028784517727908766,-0.005147458948796329,-0.0009099395664996238,0.3342144929388435,0.33087312456476226,-0.0039956410438584935,-0.010340280914814095,0.0019042400807623232
setfit_ag_news,subgraphx,window,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.4840802813580635,0.8017940724440253,-0.00884717066563664,-0.017299270656769762,-0.001717047423312405,0.09288454724528535,0.08313254178074359,-0.010605822467623467,-0.029837731356151018,0.0031565752039200115
setfit_ag_news,subgraphx,window,gnn_correct_gold,all,7600,478,0.8290050042357996,0.4819382219511937,0.7912872953039611,-0.03785982003286099,-0.05592607552891292,-0.020368927076188082,0.29563854766341935,0.2806383295455531,-0.014462449485448226,-0.021830493817941984,-0.007200315350567373
setfit_ag_news,subgraphx,window,gnn_correct_gold,confidence>0.9,7141,293,0.7637351081305221,0.4812408794775286,0.6996377707250168,-0.06508176709024194,-0.09738676494887637,-0.03410181543531461,0.15616573874319184,0.13154659228137972,-0.02455201516257401,-0.03411870370668111,-0.01478464132943115
setfit_ag_news,subgraphx,window,gnn_correct_gold,all (base = confidence+explanation),7600,478,0.8443375996822857,0.4819382219511937,0.8432316506458273,-0.001097554172916847,-0.002715973887050585,0.000513184243859862,0.2932629655178452,0.2928856195470866,-0.00037520702699895793,-0.0032735783007867376,0.0026210434786747942
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,all,7600,136,0.9766536236681168,0.4943843192421663,0.9767314482062921,4.3071557282697624e-05,-0.0023486644647594283,0.0018567411810300582,0.3233337507342042,0.3430020256966781,0.020180881025081476,-0.001099799139116629,0.04342452751817903
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,all (base = confidence+explanation),7600,136,0.9809398839921821,0.4943843192421663,0.9804552045898745,-0.00048717580397162675,-0.0015923503114757208,0.000490904699232902,0.3793834734355478,0.3877812247411969,0.007181163317823986,-0.011969993243635913,0.02541139226520077
