dataset,method,graph,target,feature,n_valid,mean_when_correct,mean_when_error,auroc_error_oriented
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,jaccard_k20,7600,0.07690993335084342,0.07488402953380348,0.4938386584249214
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,jaccard_top5,7600,0.060157432057150524,0.06107171000788022,0.4883200740882308
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,spearman,7600,0.045963439220678054,0.037896551416007014,0.4979623834883652
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,top1_match,7600,0.031505563748491755,0.028368794326241134,0.5015683847111253
setfit_ag_news,subgraphx,syntactic,bert_correct,jaccard_k20,7600,0.1130072046546212,0.11817781182124304,0.48683884102462394
setfit_ag_news,subgraphx,syntactic,bert_correct,jaccard_top5,7600,0.08804413896292142,0.09731068648266103,0.47461685010746757
setfit_ag_news,subgraphx,syntactic,bert_correct,spearman,7600,0.03039468648198129,0.028191451250649053,0.5011452578937321
setfit_ag_news,subgraphx,syntactic,bert_correct,top1_match,7600,0.028475241969420678,0.021231422505307854,0.5036219097320564
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,jaccard_k20,7600,0.11296267398325566,0.1186936431523817,0.48767081167337956
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,jaccard_top5,7600,0.08799307618869172,0.0978125409943592,0.47643217008348077
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,spearman,7600,0.03075281121205842,0.02298530761176161,0.5086742888799074
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,top1_match,7600,0.027965148960089937,0.028925619834710745,0.4995197645626896
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,jaccard_k20,7600,0.1133534846523168,0.11196077538275881,0.5023318966377902
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,jaccard_top5,7600,0.08852361161651953,0.0936339074636947,0.48528694451654864
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,spearman,7600,0.0305058751952752,0.017152981471933292,0.5188738626952637
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,top1_match,7600,0.028019841801850114,0.028368794326241134,0.4998255237378045
setfit_ag_news,subgraphx,window,bert_correct,jaccard_k20,7600,0.11779285186503818,0.12191988334942869,0.4912274823773832
setfit_ag_news,subgraphx,window,bert_correct,jaccard_top5,7600,0.09346966448242926,0.09994776396050281,0.4850480633065089
setfit_ag_news,subgraphx,window,bert_correct,spearman,7600,0.04146004266884596,0.04686964552793839,0.49245374668044967
setfit_ag_news,subgraphx,window,bert_correct,top1_match,7600,0.03142095665591247,0.040339702760084924,0.4955406269479138
setfit_ag_news,subgraphx,window,gnn_correct_gold,jaccard_k20,7600,0.1178850366840439,0.1204859304177349,0.4960210802992437
setfit_ag_news,subgraphx,window,gnn_correct_gold,jaccard_top5,7600,0.09356153300972174,0.09848409377698082,0.4919817960494854
setfit_ag_news,subgraphx,window,gnn_correct_gold,spearman,7600,0.041829213205528626,0.04128993887047485,0.5018812883410353
setfit_ag_news,subgraphx,window,gnn_correct_gold,top1_match,7600,0.031451839370963214,0.0397489539748954,0.4958514426980339
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,jaccard_k20,7600,0.11821920674793414,0.10868637380042406,0.5185187921631675
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,jaccard_top5,7600,0.09403390241412751,0.08493814192343603,0.5212170378601602
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,spearman,7600,0.04164807407000692,0.049875164495075106,0.4854645435344556
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,top1_match,7600,0.0317524115755627,0.04411764705882353,0.49381738225836963
setfit_ag_news,subgraphx,skipgrams,bert_correct,jaccard_k20,7600,0.11775427271253242,0.12043854991989861,0.49568685542946944
setfit_ag_news,subgraphx,skipgrams,bert_correct,jaccard_top5,7600,0.09333885515678193,0.09870926431435986,0.48862455584215553
