dataset,method,regime,n,n_bert_errors,addition,n_added,auroc_base,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,all,7600,471,committee:confidence+explanation(4 topologies),88,0.8868036687564534,0.8607830401169352,-0.0261665535611664,-0.03454316392253632,-0.01763424066016692,0.3342144929388435,0.28917835378435364,-0.04550230331144275,-0.06532883473533051,-0.024918704583738106
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,bert_explanation,19,0.8106061598379266,0.8002768172133151,-0.010043366769136728,-0.02925045030142585,0.010405264446673609,0.09288454724528535,0.08453702606583749,-0.008892824500478702,-0.034701899440901074,0.017991348034704164
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,constituency:gnn_confidence,3,0.8106061598379266,0.8089491861399281,-0.0016419573197255706,-0.0034870578817121937,-0.000259970203593779,0.09288454724528535,0.09448411449236102,7.522030500067027e-05,-0.008110718327415658,0.00870548775699866
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,constituency:gnn_disagreement,1,0.8106061598379266,0.8097307363163226,-0.0008656958608765762,-0.0019746145849833725,-0.0002535329006884718,0.09288454724528535,0.08937195996006693,-0.003729531462694453,-0.011610400195087621,-0.000375784777036733
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,constituency:gnn_confidence+explanation,22,0.8106061598379266,0.7856162021027628,-0.025139235937397617,-0.037833809298212215,-0.013858279412215513,0.09288454724528535,0.07847748125168363,-0.016191418432498772,-0.03618018185087687,-0.0021004694878740287
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,constituency:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.7851239128156764,-0.025197628361502456,-0.04512943915254029,-0.0035894017308997334,0.09288454724528535,0.07797112023300103,-0.016390586405454967,-0.04185257978011944,0.005983163587918511
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,syntactic:gnn_confidence,3,0.8106061598379266,0.8022143193964162,-0.008456392651052882,-0.021623166356700106,5.6889841925244396e-05,0.09288454724528535,0.08884890728904914,-0.004841601988015819,-0.01697866531903314,0.004846395921094723
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,syntactic:gnn_disagreement,1,0.8106061598379266,0.8088847846589122,-0.0016877169674762626,-0.003775282694802565,-7.653595679749968e-05,0.09288454724528535,0.08574690339876113,-0.00826402083477539,-0.021451529400367413,-0.000681218355651623
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,syntactic:gnn_confidence+explanation,22,0.8106061598379266,0.7884989870411122,-0.022380290068241965,-0.043405892304146064,-0.0029103230578193346,0.09288454724528535,0.08099104224545497,-0.01346951128433621,-0.03521720501495618,0.0013221504725124604
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,syntactic:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.7840694750078592,-0.026429055725141266,-0.0522471190237665,0.0014275277069292192,0.09288454724528535,0.08050311031802142,-0.013239844843284249,-0.04022816723580408,0.012774148027907665
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,window:gnn_confidence,3,0.8106061598379266,0.8086577421495686,-0.0019253034701572458,-0.00508389631281258,0.00022461674695394544,0.09288454724528535,0.09572929916545259,0.0014044690830180512,-0.008129802393652059,0.011382815967095476
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,window:gnn_disagreement,1,0.8106061598379266,0.8108692235146181,0.00025083393123475993,-0.0006309848186818928,0.0016190334757917588,0.09288454724528535,0.09824322498464429,0.0041562910427082,-0.008583421920344553,0.020816773403774518
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,window:gnn_confidence+explanation,22,0.8106061598379266,0.7901363128296482,-0.020713331212212603,-0.034758709117770306,-0.00859714108299055,0.09288454724528535,0.08758526346290654,-0.0060473411510579,-0.02614795509521245,0.012899542717029821
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,window:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.7870679643019315,-0.02345126663833126,-0.04550553384059366,-0.0013282243616067927,0.09288454724528535,0.08293233357801925,-0.010612173431284707,-0.03635190027159534,0.01568334530356292
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,skipgrams:gnn_confidence,3,0.8106061598379266,0.8092602780397498,-0.0013500410439944203,-0.0032433143512979904,8.541257012321052e-05,0.09288454724528535,0.08961040080049767,-0.003407343840885391,-0.014277200057252363,0.005763143826573832
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,skipgrams:gnn_disagreement,1,0.8106061598379266,0.8100483775192986,-0.0005582005534590694,-0.0009670695450353789,-0.00021639127150153154,0.09288454724528535,0.08917616631166528,-0.00413879621337302,-0.01286558743838806,0.00017494872262704167
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,skipgrams:gnn_confidence+explanation,22,0.8106061598379266,0.7933465629257046,-0.017511191448743923,-0.02495579971554391,-0.01017250086155066,0.09288454724528535,0.08404653231211165,-0.00917574646463342,-0.02642489105966708,0.005027555070901612
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,skipgrams:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.7876715917426387,-0.022917433692986443,-0.0441990475207876,-0.0015078363054446744,0.09288454724528535,0.08070137392574843,-0.013233433627927796,-0.03800411351894556,0.01218168951775334
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,committee:confidence+disagreement(4 topologies),16,0.8106061598379266,0.7987693859373364,-0.01185758536984123,-0.026293596052202377,-0.002013992753089867,0.09288454724528535,0.0887687763420027,-0.0064120214426455656,-0.022649300977744008,0.006847044889554355
setfit_ag_news,subgraphx,bert_confidence>0.9,6506,144,committee:confidence+explanation(4 topologies),88,0.8106061598379266,0.7480417583569107,-0.06327020808970828,-0.08937762780038747,-0.04085880429848405,0.09288454724528535,0.06501440034047365,-0.03091255925097974,-0.056702695654495656,-0.012006630713353193
setfit_ag_news,subgraphx,bert_confidence>0.95,5915,96,bert_explanation,19,0.799738285501518,0.782408203013118,-0.01683870883568512,-0.04578995723425483,0.016957313193297432,0.05382084223468235,0.04990246855332167,-0.0030895591821764904,-0.022657525947624678,0.020404104841443626
