dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,feature_set,n_features,accuracy,balanced_accuracy,auroc,auprc_error,mcc,precision_error,recall_error,f1_error
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,confidence,3,0.8378947368421052,0.8114745578822066,0.8868036687564534,0.3342144929388435,0.37765457436495015,0.2458249832999332,0.7813163481953291,0.37398373983739835
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,explanation,19,0.8740789473684211,0.7801987873459649,0.862640231177997,0.3617594804536666,0.3811750743782421,0.2830357142857143,0.673036093418259,0.39849151477058453
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,confidence+explanation,22,0.8364473684210526,0.8097116261173003,0.8852889680289742,0.35446132758735255,0.3746696840929383,0.24369189907038513,0.7791932059447984,0.3712696004046535
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,paper (4 dimensions),20,0.8736842105263158,0.7819712492766753,0.8636712759909214,0.3640030353114359,0.3825998747555826,0.28305235137533274,0.6772823779193206,0.3992490613266583
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,majority baseline,0,0.9380263157894737,0.5,0.5,0.06197368421052631,0.0,0.0,0.0,0.0
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,confidence,3,0.8378947368421052,0.8114745578822066,0.8868036687564534,0.3342144929388435,0.37765457436495015,0.2458249832999332,0.7813163481953291,0.37398373983739835
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,explanation,19,0.8740789473684211,0.7801987873459649,0.862640231177997,0.3617594804536666,0.3811750743782421,0.2830357142857143,0.673036093418259,0.39849151477058453
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,confidence+explanation,22,0.8364473684210526,0.8097116261173003,0.8852889680289742,0.35446132758735255,0.3746696840929383,0.24369189907038513,0.7791932059447984,0.3712696004046535
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,paper (4 dimensions),20,0.8736842105263158,0.7819712492766753,0.8636712759909214,0.3640030353114359,0.3825998747555826,0.28305235137533274,0.6772823779193206,0.3992490613266583
stanfordnlp_sst2,graphsvx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,majority baseline,0,0.9839449541284404,0.5,0.5,0.016055045871559634,0.0,0.0,0.0,0.0
